,balanced,learning rate,adaptive learning,epochs,batch size,regularization,regularization parameter,accuracy
205,False,0.1,const,10.0,80.0,l1,1e-06,0.7803333333333333
206,False,0.1,const,40.0,80.0,l1,1e-06,0.7853333333333333
207,False,0.1,const,60.0,80.0,l1,1e-06,0.7836666666666666
208,False,0.1,decay,1.0,10.0,l1,1e-06,0.7893333333333333
209,False,0.1,decay,10.0,10.0,l1,1e-06,0.779
210,False,0.1,decay,40.0,10.0,l1,1e-06,0.779
211,False,0.1,decay,60.0,10.0,l1,1e-06,0.789
212,False,0.1,decay,1.0,40.0,l1,1e-06,0.7696666666666667
213,False,0.1,decay,10.0,40.0,l1,1e-06,0.7783333333333333
214,False,0.1,decay,40.0,40.0,l1,1e-06,0.7836666666666666
215,False,0.1,decay,60.0,40.0,l1,1e-06,0.7803333333333333
216,False,0.1,decay,1.0,60.0,l1,1e-06,0.7696666666666667
217,False,0.1,decay,10.0,60.0,l1,1e-06,0.7786666666666666
218,False,0.1,decay,40.0,60.0,l1,1e-06,0.7806666666666666
219,False,0.1,decay,60.0,60.0,l1,1e-06,0.7823333333333333
220,False,0.1,decay,1.0,80.0,l1,1e-06,0.7683333333333333
221,False,0.1,decay,10.0,80.0,l1,1e-06,0.78
222,False,0.1,decay,40.0,80.0,l1,1e-06,0.7813333333333333
223,False,0.1,decay,60.0,80.0,l1,1e-06,0.782
224,False,0.01,const,1.0,10.0,l1,1e-06,0.7683333333333333
225,False,0.01,const,10.0,10.0,l1,1e-06,0.7793333333333333
226,False,0.01,const,40.0,10.0,l1,1e-06,0.7816666666666666
227,False,0.01,const,60.0,10.0,l1,1e-06,0.7883333333333333
228,False,0.01,const,1.0,40.0,l1,1e-06,0.768
229,False,0.01,const,10.0,40.0,l1,1e-06,0.7713333333333333
230,False,0.01,const,40.0,40.0,l1,1e-06,0.78
231,False,0.01,const,60.0,40.0,l1,1e-06,0.779
232,False,0.01,const,1.0,60.0,l1,1e-06,0.768
233,False,0.01,const,10.0,60.0,l1,1e-06,0.769
234,False,0.01,const,40.0,60.0,l1,1e-06,0.778
235,False,0.01,const,60.0,60.0,l1,1e-06,0.7793333333333333
236,False,0.01,const,1.0,80.0,l1,1e-06,0.768
237,False,0.01,const,10.0,80.0,l1,1e-06,0.7686666666666667
238,False,0.01,const,40.0,80.0,l1,1e-06,0.7743333333333333
239,False,0.01,const,60.0,80.0,l1,1e-06,0.7793333333333333
240,False,0.01,decay,1.0,10.0,l1,1e-06,0.7683333333333333
241,False,0.01,decay,10.0,10.0,l1,1e-06,0.7793333333333333
242,False,0.01,decay,40.0,10.0,l1,1e-06,0.7833333333333333
243,False,0.01,decay,60.0,10.0,l1,1e-06,0.787
244,False,0.01,decay,1.0,40.0,l1,1e-06,0.768
245,False,0.01,decay,10.0,40.0,l1,1e-06,0.7716666666666666
246,False,0.01,decay,40.0,40.0,l1,1e-06,0.7803333333333333
247,False,0.01,decay,60.0,40.0,l1,1e-06,0.7786666666666666
248,False,0.01,decay,1.0,60.0,l1,1e-06,0.768
249,False,0.01,decay,10.0,60.0,l1,1e-06,0.769
250,False,0.01,decay,40.0,60.0,l1,1e-06,0.776
251,False,0.01,decay,60.0,60.0,l1,1e-06,0.78
252,False,0.01,decay,1.0,80.0,l1,1e-06,0.768
253,False,0.01,decay,10.0,80.0,l1,1e-06,0.768
254,False,0.01,decay,40.0,80.0,l1,1e-06,0.7726666666666666
255,False,0.01,decay,60.0,80.0,l1,1e-06,0.7783333333333333
256,False,1.0,const,1.0,10.0,l1,0.001,0.7963333333333333
257,False,1.0,const,10.0,10.0,l1,0.001,0.7723333333333333
258,False,1.0,const,40.0,10.0,l1,0.001,0.7686666666666667
259,False,1.0,const,60.0,10.0,l1,0.001,0.764
260,False,1.0,const,1.0,40.0,l1,0.001,0.7923333333333333
261,False,1.0,const,10.0,40.0,l1,0.001,0.793
262,False,1.0,const,40.0,40.0,l1,0.001,0.785
263,False,1.0,const,60.0,40.0,l1,0.001,0.776
264,False,1.0,const,1.0,60.0,l1,0.001,0.7853333333333333
265,False,1.0,const,10.0,60.0,l1,0.001,0.7813333333333333
266,False,1.0,const,40.0,60.0,l1,0.001,0.791
267,False,1.0,const,60.0,60.0,l1,0.001,0.7933333333333333
268,False,1.0,const,1.0,80.0,l1,0.001,0.798
269,False,1.0,const,10.0,80.0,l1,0.001,0.78
270,False,1.0,const,40.0,80.0,l1,0.001,0.7976666666666666
271,False,1.0,const,60.0,80.0,l1,0.001,0.789
272,False,1.0,decay,1.0,10.0,l1,0.001,0.7963333333333333
273,False,1.0,decay,10.0,10.0,l1,0.001,0.7806666666666666
274,False,1.0,decay,40.0,10.0,l1,0.001,0.786
275,False,1.0,decay,60.0,10.0,l1,0.001,0.7913333333333333
276,False,1.0,decay,1.0,40.0,l1,0.001,0.7923333333333333
277,False,1.0,decay,10.0,40.0,l1,0.001,0.7836666666666666
278,False,1.0,decay,40.0,40.0,l1,0.001,0.791
279,False,1.0,decay,60.0,40.0,l1,0.001,0.787
280,False,1.0,decay,1.0,60.0,l1,0.001,0.7853333333333333
281,False,1.0,decay,10.0,60.0,l1,0.001,0.7906666666666666
282,False,1.0,decay,40.0,60.0,l1,0.001,0.7903333333333333
283,False,1.0,decay,60.0,60.0,l1,0.001,0.7896666666666666
284,False,1.0,decay,1.0,80.0,l1,0.001,0.798
285,False,1.0,decay,10.0,80.0,l1,0.001,0.79
286,False,1.0,decay,40.0,80.0,l1,0.001,0.7903333333333333
287,False,1.0,decay,60.0,80.0,l1,0.001,0.7903333333333333
288,False,0.5,const,1.0,10.0,l1,0.001,0.8023333333333333
289,False,0.5,const,10.0,10.0,l1,0.001,0.7746666666666666
290,False,0.5,const,40.0,10.0,l1,0.001,0.779
291,False,0.5,const,60.0,10.0,l1,0.001,0.77
292,False,0.5,const,1.0,40.0,l1,0.001,0.786
293,False,0.5,const,10.0,40.0,l1,0.001,0.7863333333333333
294,False,0.5,const,40.0,40.0,l1,0.001,0.787
295,False,0.5,const,60.0,40.0,l1,0.001,0.7823333333333333
296,False,0.5,const,1.0,60.0,l1,0.001,0.7913333333333333
297,False,0.5,const,10.0,60.0,l1,0.001,0.7853333333333333
298,False,0.5,const,40.0,60.0,l1,0.001,0.7976666666666666
299,False,0.5,const,60.0,60.0,l1,0.001,0.7943333333333333
300,False,0.5,const,1.0,80.0,l1,0.001,0.798
301,False,0.5,const,10.0,80.0,l1,0.001,0.7846666666666666
302,False,0.5,const,40.0,80.0,l1,0.001,0.797
303,False,0.5,const,60.0,80.0,l1,0.001,0.7916666666666666
304,False,0.5,decay,1.0,10.0,l1,0.001,0.8023333333333333
305,False,0.5,decay,10.0,10.0,l1,0.001,0.784
306,False,0.5,decay,40.0,10.0,l1,0.001,0.7893333333333333
307,False,0.5,decay,60.0,10.0,l1,0.001,0.7943333333333333
308,False,0.5,decay,1.0,40.0,l1,0.001,0.786
309,False,0.5,decay,10.0,40.0,l1,0.001,0.7843333333333333
310,False,0.5,decay,40.0,40.0,l1,0.001,0.7906666666666666
311,False,0.5,decay,60.0,40.0,l1,0.001,0.7866666666666666
312,False,0.5,decay,1.0,60.0,l1,0.001,0.7913333333333333
313,False,0.5,decay,10.0,60.0,l1,0.001,0.7896666666666666
314,False,0.5,decay,40.0,60.0,l1,0.001,0.792
315,False,0.5,decay,60.0,60.0,l1,0.001,0.79
316,False,0.5,decay,1.0,80.0,l1,0.001,0.798
317,False,0.5,decay,10.0,80.0,l1,0.001,0.7883333333333333
318,False,0.5,decay,40.0,80.0,l1,0.001,0.7906666666666666
319,False,0.5,decay,60.0,80.0,l1,0.001,0.7913333333333333
320,False,0.1,const,1.0,10.0,l1,0.001,0.791
321,False,0.1,const,10.0,10.0,l1,0.001,0.7833333333333333
322,False,0.1,const,40.0,10.0,l1,0.001,0.783
323,False,0.1,const,60.0,10.0,l1,0.001,0.7916666666666666
324,False,0.1,const,1.0,40.0,l1,0.001,0.7713333333333333
325,False,0.1,const,10.0,40.0,l1,0.001,0.781
326,False,0.1,const,40.0,40.0,l1,0.001,0.7873333333333333
327,False,0.1,const,60.0,40.0,l1,0.001,0.7863333333333333
328,False,0.1,const,1.0,60.0,l1,0.001,0.7696666666666667
329,False,0.1,const,10.0,60.0,l1,0.001,0.788
330,False,0.1,const,40.0,60.0,l1,0.001,0.7926666666666666
331,False,0.1,const,60.0,60.0,l1,0.001,0.7876666666666666
332,False,0.1,const,1.0,80.0,l1,0.001,0.7693333333333333
333,False,0.1,const,10.0,80.0,l1,0.001,0.7866666666666666
334,False,0.1,const,40.0,80.0,l1,0.001,0.7923333333333333
335,False,0.1,const,60.0,80.0,l1,0.001,0.792
336,False,0.1,decay,1.0,10.0,l1,0.001,0.791
337,False,0.1,decay,10.0,10.0,l1,0.001,0.7873333333333333
338,False,0.1,decay,40.0,10.0,l1,0.001,0.7866666666666666
339,False,0.1,decay,60.0,10.0,l1,0.001,0.795
340,False,0.1,decay,1.0,40.0,l1,0.001,0.7713333333333333
341,False,0.1,decay,10.0,40.0,l1,0.001,0.7816666666666666
342,False,0.1,decay,40.0,40.0,l1,0.001,0.7893333333333333
343,False,0.1,decay,60.0,40.0,l1,0.001,0.7886666666666666
344,False,0.1,decay,1.0,60.0,l1,0.001,0.7696666666666667
345,False,0.1,decay,10.0,60.0,l1,0.001,0.787
346,False,0.1,decay,40.0,60.0,l1,0.001,0.7903333333333333
347,False,0.1,decay,60.0,60.0,l1,0.001,0.7903333333333333
348,False,0.1,decay,1.0,80.0,l1,0.001,0.7693333333333333
349,False,0.1,decay,10.0,80.0,l1,0.001,0.7873333333333333
350,False,0.1,decay,40.0,80.0,l1,0.001,0.7886666666666666
351,False,0.1,decay,60.0,80.0,l1,0.001,0.7886666666666666
352,False,0.01,const,1.0,10.0,l1,0.001,0.7683333333333333
353,False,0.01,const,10.0,10.0,l1,0.001,0.7863333333333333
354,False,0.01,const,40.0,10.0,l1,0.001,0.7913333333333333
355,False,0.01,const,60.0,10.0,l1,0.001,0.7926666666666666
356,False,0.01,const,1.0,40.0,l1,0.001,0.768
357,False,0.01,const,10.0,40.0,l1,0.001,0.7726666666666666
358,False,0.01,const,40.0,40.0,l1,0.001,0.7886666666666666
359,False,0.01,const,60.0,40.0,l1,0.001,0.7856666666666666
360,False,0.01,const,1.0,60.0,l1,0.001,0.768
361,False,0.01,const,10.0,60.0,l1,0.001,0.7696666666666667
362,False,0.01,const,40.0,60.0,l1,0.001,0.7843333333333333
363,False,0.01,const,60.0,60.0,l1,0.001,0.7886666666666666
364,False,0.01,const,1.0,80.0,l1,0.001,0.768
365,False,0.01,const,10.0,80.0,l1,0.001,0.768
366,False,0.01,const,40.0,80.0,l1,0.001,0.7813333333333333
367,False,0.01,const,60.0,80.0,l1,0.001,0.7876666666666666
368,False,0.01,decay,1.0,10.0,l1,0.001,0.7683333333333333
369,False,0.01,decay,10.0,10.0,l1,0.001,0.7863333333333333
370,False,0.01,decay,40.0,10.0,l1,0.001,0.791
371,False,0.01,decay,60.0,10.0,l1,0.001,0.7903333333333333
372,False,0.01,decay,1.0,40.0,l1,0.001,0.768
