,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,stopping tol
152,0.8077777777777776,50,0.4418538284769185,test,76,0.3,1e-08,0.24429967426710092,0.9,23 : 40_tanh : 2_tanh,3,0.0001
153,0.8099629629629631,50,0.43950971594439786,train,76,0.3,1e-08,0.24429967426710092,0.9,23 : 40_tanh : 2_tanh,3,0.0001
154,0.8092777777777777,50,0.4430441280241077,test,77,0.3,1e-08,0.24370430544272947,0.9,23 : 40_tanh : 2_tanh,3,0.0001
155,0.8105246913580246,50,0.4400913433160592,train,77,0.3,1e-08,0.24370430544272947,0.9,23 : 40_tanh : 2_tanh,3,0.0001
156,0.8097222222222222,50,0.4415664036786316,test,78,0.3,1e-08,0.24311183144246348,0.9,23 : 40_tanh : 2_tanh,3,0.0001
157,0.8109567901234568,50,0.4397401430847164,train,78,0.3,1e-08,0.24311183144246348,0.9,23 : 40_tanh : 2_tanh,3,0.0001
158,0.8096111111111112,50,0.4413912651708527,test,79,0.3,1e-08,0.24252223120452707,0.9,23 : 40_tanh : 2_tanh,3,0.0001
159,0.8119938271604937,50,0.4400536117979159,train,79,0.3,1e-08,0.24252223120452707,0.9,23 : 40_tanh : 2_tanh,3,0.0001
160,0.8093333333333333,50,0.4409528244986356,test,80,0.3,1e-08,0.2419354838709677,0.9,23 : 40_tanh : 2_tanh,3,0.0001
161,0.8114814814814815,50,0.43930424095092624,train,80,0.3,1e-08,0.2419354838709677,0.9,23 : 40_tanh : 2_tanh,3,0.0001
162,0.8109444444444445,50,0.44283266940083904,test,81,0.3,1e-08,0.24135156878519706,0.9,23 : 40_tanh : 2_tanh,3,0.0001
163,0.811246913580247,50,0.4399033332023044,train,81,0.3,1e-08,0.24135156878519706,0.9,23 : 40_tanh : 2_tanh,3,0.0001
164,0.8097222222222222,50,0.4423537344279142,test,82,0.3,1e-08,0.24077046548956657,0.9,23 : 40_tanh : 2_tanh,3,0.0001
165,0.8104938271604939,50,0.43964616933319806,train,82,0.3,1e-08,0.24077046548956657,0.9,23 : 40_tanh : 2_tanh,3,0.0001
166,0.8073333333333333,50,0.44285255288942116,test,83,0.3,1e-08,0.24019215372297836,0.9,23 : 40_tanh : 2_tanh,3,0.0001
167,0.8094135802469137,50,0.439901676674406,train,83,0.3,1e-08,0.24019215372297836,0.9,23 : 40_tanh : 2_tanh,3,0.0001
168,0.8088333333333333,50,0.4415945605434503,test,84,0.3,1e-08,0.2396166134185303,0.9,23 : 40_tanh : 2_tanh,3,0.0001
169,0.8103086419753088,50,0.4393407899903414,train,84,0.3,1e-08,0.2396166134185303,0.9,23 : 40_tanh : 2_tanh,3,0.0001
170,0.8098333333333333,50,0.44202363862204114,test,85,0.3,1e-08,0.2390438247011952,0.9,23 : 40_tanh : 2_tanh,3,0.0001
171,0.8119876543209877,50,0.4387863112596533,train,85,0.3,1e-08,0.2390438247011952,0.9,23 : 40_tanh : 2_tanh,3,0.0001
172,0.81,50,0.44417636422832407,test,86,0.3,1e-08,0.23847376788553254,0.9,23 : 40_tanh : 2_tanh,3,0.0001
173,0.811746913580247,50,0.4404267940854956,train,86,0.3,1e-08,0.23847376788553254,0.9,23 : 40_tanh : 2_tanh,3,0.0001
174,0.8092222222222222,50,0.44247042525044944,test,87,0.3,1e-08,0.23790642347343374,0.9,23 : 40_tanh : 2_tanh,3,0.0001
175,0.8114506172839505,50,0.4393916834160658,train,87,0.3,1e-08,0.23790642347343374,0.9,23 : 40_tanh : 2_tanh,3,0.0001
176,0.8102777777777778,50,0.44315936867034705,test,88,0.3,1e-08,0.2373417721518987,0.9,23 : 40_tanh : 2_tanh,3,0.0001
177,0.8122654320987653,50,0.4402896325659436,train,88,0.3,1e-08,0.2373417721518987,0.9,23 : 40_tanh : 2_tanh,3,0.0001
178,0.8111666666666665,50,0.4413325798737986,test,89,0.3,1e-08,0.2367797947908445,0.9,23 : 40_tanh : 2_tanh,3,0.0001
179,0.812037037037037,50,0.4390403999134375,train,89,0.3,1e-08,0.2367797947908445,0.9,23 : 40_tanh : 2_tanh,3,0.0001
180,0.809888888888889,50,0.4426956106770359,test,90,0.3,1e-08,0.23622047244094482,0.9,23 : 40_tanh : 2_tanh,3,0.0001
181,0.8118333333333334,50,0.43998764004683893,train,90,0.3,1e-08,0.23622047244094482,0.9,23 : 40_tanh : 2_tanh,3,0.0001
182,0.8102222222222223,50,0.44193523751986996,test,91,0.3,1e-08,0.23566378633150037,0.9,23 : 40_tanh : 2_tanh,3,0.0001
183,0.8124382716049383,50,0.4391473714007925,train,91,0.3,1e-08,0.23566378633150037,0.9,23 : 40_tanh : 2_tanh,3,0.0001
184,0.8109444444444444,50,0.44121965065229,test,92,0.3,1e-08,0.2351097178683385,0.9,23 : 40_tanh : 2_tanh,3,0.0001
185,0.8125987654320989,50,0.43874430933481884,train,92,0.3,1e-08,0.2351097178683385,0.9,23 : 40_tanh : 2_tanh,3,0.0001
186,0.8115,50,0.4428000092747357,test,93,0.3,1e-08,0.23455824863174352,0.9,23 : 40_tanh : 2_tanh,3,0.0001
187,0.8117407407407408,50,0.4398579755152896,train,93,0.3,1e-08,0.23455824863174352,0.9,23 : 40_tanh : 2_tanh,3,0.0001
188,0.8097222222222221,50,0.44188145696102904,test,94,0.3,1e-08,0.23400936037441492,0.9,23 : 40_tanh : 2_tanh,3,0.0001
189,0.8121851851851852,50,0.4393459994319811,train,94,0.3,1e-08,0.23400936037441492,0.9,23 : 40_tanh : 2_tanh,3,0.0001
190,0.810111111111111,50,0.4421739372041924,test,95,0.3,1e-08,0.23346303501945523,0.9,23 : 40_tanh : 2_tanh,3,0.0001
