,number of layers,nodes per layer,epoch,batch size,learning rate,momentum parameter,lambda,stopping tol,cost,accuracy,data set
105,3,23 : 40_sigmoid : 2_sigmoid,52,50,0.11718750000000003,0.9,1e-08,0.0001,0.46159916533398465,0.797,test
106,3,23 : 40_sigmoid : 2_sigmoid,53,50,0.11583011583011588,0.9,1e-08,0.0001,0.467184089309257,0.7971481481481482,train
107,3,23 : 40_sigmoid : 2_sigmoid,53,50,0.11583011583011588,0.9,1e-08,0.0001,0.46166209787940937,0.7956666666666666,test
108,3,23 : 40_sigmoid : 2_sigmoid,54,50,0.11450381679389315,0.9,1e-08,0.0001,0.4669453492912975,0.798037037037037,train
109,3,23 : 40_sigmoid : 2_sigmoid,54,50,0.11450381679389315,0.9,1e-08,0.0001,0.4615681030422213,0.798,test
110,3,23 : 40_sigmoid : 2_sigmoid,55,50,0.11320754716981138,0.9,1e-08,0.0001,0.46703651443289207,0.7973333333333333,train
111,3,23 : 40_sigmoid : 2_sigmoid,55,50,0.11320754716981138,0.9,1e-08,0.0001,0.46152788169624703,0.7966666666666666,test
112,3,23 : 40_sigmoid : 2_sigmoid,56,50,0.11194029850746273,0.9,1e-08,0.0001,0.46658440575642113,0.7997407407407408,train
113,3,23 : 40_sigmoid : 2_sigmoid,56,50,0.11194029850746273,0.9,1e-08,0.0001,0.46133312292532624,0.798,test
114,3,23 : 40_sigmoid : 2_sigmoid,57,50,0.11070110701107017,0.9,1e-08,0.0001,0.46815225413991074,0.8032962962962963,train
115,3,23 : 40_sigmoid : 2_sigmoid,57,50,0.11070110701107017,0.9,1e-08,0.0001,0.4636455279808832,0.8033333333333333,test
116,3,23 : 40_sigmoid : 2_sigmoid,58,50,0.10948905109489057,0.9,1e-08,0.0001,0.46661399989822544,0.7988148148148149,train
117,3,23 : 40_sigmoid : 2_sigmoid,58,50,0.10948905109489057,0.9,1e-08,0.0001,0.4611804429720585,0.7983333333333333,test
118,3,23 : 40_sigmoid : 2_sigmoid,59,50,0.10830324909747298,0.9,1e-08,0.0001,0.46833667304835064,0.7947407407407407,train
119,3,23 : 40_sigmoid : 2_sigmoid,59,50,0.10830324909747298,0.9,1e-08,0.0001,0.4623569146340079,0.793,test
120,3,23 : 40_sigmoid : 2_sigmoid,60,50,0.10714285714285722,0.9,1e-08,0.0001,0.46665179297800324,0.7981481481481482,train
121,3,23 : 40_sigmoid : 2_sigmoid,60,50,0.10714285714285722,0.9,1e-08,0.0001,0.4611515859626094,0.7976666666666666,test
