,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
166,Nan,50,0.009580593112549636,test,79,0.4,1e-06,0.30395136778115495,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
167,Nan,50,0.0031328151080323823,train,79,0.4,1e-06,0.30395136778115495,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
168,Nan,50,0.007948509540831926,test,80,0.4,1e-06,0.303030303030303,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
169,Nan,50,0.0032297019990895908,train,80,0.4,1e-06,0.303030303030303,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
170,Nan,50,0.008055591224147115,test,81,0.4,1e-06,0.30211480362537757,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
171,Nan,50,0.00315237253782662,train,81,0.4,1e-06,0.30211480362537757,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
172,Nan,50,0.010780386524932259,test,82,0.4,1e-06,0.3012048192771084,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
173,Nan,50,0.0034713900091072414,train,82,0.4,1e-06,0.3012048192771084,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
174,Nan,50,0.008926770258598324,test,83,0.4,1e-06,0.30030030030030025,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
175,Nan,50,0.003035392160220273,train,83,0.4,1e-06,0.30030030030030025,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
176,Nan,50,0.008071364639296563,test,84,0.4,1e-06,0.2994011976047904,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
177,Nan,50,0.003133831103033871,train,84,0.4,1e-06,0.2994011976047904,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
178,Nan,50,0.008257299128620442,test,85,0.4,1e-06,0.29850746268656714,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
179,Nan,50,0.0031370113506384426,train,85,0.4,1e-06,0.29850746268656714,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
180,Nan,50,0.00779936876557543,test,86,0.4,1e-06,0.29761904761904756,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
181,Nan,50,0.003351020991601785,train,86,0.4,1e-06,0.29761904761904756,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
182,Nan,50,0.008028879075723847,test,87,0.4,1e-06,0.29673590504451036,0.9,6785 : 40_tanh : 1_tanh,3,115.0,0.0001
