, pol order,accuracy,batch size,cost,data set,epoch,initial learning rate,lambda,learning rate,momentum parameter,nodes per layer,number of layers,pol order,stopping tol
108,,Nan,50,0.004120071659478423,train,54,0.3,0.0001,0.2581755593803786,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
109,,Nan,50,0.004010852762054849,test,54,0.3,0.0001,0.2581755593803786,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
110,,Nan,50,0.004628900242861808,train,55,0.3,0.0001,0.2575107296137339,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
111,,Nan,50,0.004482867477181805,test,55,0.3,0.0001,0.2575107296137339,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
112,,Nan,50,0.004028009153675675,train,56,0.3,0.0001,0.2568493150684931,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
113,,Nan,50,0.003960469832486114,test,56,0.3,0.0001,0.2568493150684931,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
114,,Nan,50,0.0038258854988165347,train,57,0.3,0.0001,0.2561912894961571,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
115,,Nan,50,0.003697850126322804,test,57,0.3,0.0001,0.2561912894961571,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
116,,Nan,50,0.004036368528198417,train,58,0.3,0.0001,0.2555366269165247,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
117,,Nan,50,0.00396275685131841,test,58,0.3,0.0001,0.2555366269165247,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
118,,Nan,50,0.003907561451049875,train,59,0.3,0.0001,0.2548853016142736,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
119,,Nan,50,0.0037441431966725694,test,59,0.3,0.0001,0.2548853016142736,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
120,,Nan,50,0.003776791139182313,train,60,0.3,0.0001,0.25423728813559315,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
121,,Nan,50,0.003646911207058985,test,60,0.3,0.0001,0.25423728813559315,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
122,,Nan,50,0.005353001764644866,train,61,0.3,0.0001,0.25359256128486896,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
123,,Nan,50,0.0053163032944436,test,61,0.3,0.0001,0.25359256128486896,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
124,,Nan,50,0.006697741310823105,train,62,0.3,0.0001,0.2529510961214165,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
125,,Nan,50,0.006697786681455686,test,62,0.3,0.0001,0.2529510961214165,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
126,,Nan,50,0.00441601018699803,train,63,0.3,0.0001,0.25231286795626573,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
127,,Nan,50,0.004352929536254722,test,63,0.3,0.0001,0.25231286795626573,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
128,,Nan,50,0.003930940280982892,train,64,0.3,0.0001,0.25167785234899326,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
129,,Nan,50,0.003773945226657622,test,64,0.3,0.0001,0.25167785234899326,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
130,,Nan,50,0.003928308914034124,train,65,0.3,0.0001,0.2510460251046025,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
131,,Nan,50,0.0038330960864579097,test,65,0.3,0.0001,0.2510460251046025,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
132,,Nan,50,0.004000997984570201,train,66,0.3,0.0001,0.2504173622704507,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
133,,Nan,50,0.003919254693741752,test,66,0.3,0.0001,0.2504173622704507,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
134,,Nan,50,0.0038832874705504216,train,67,0.3,0.0001,0.24979184013322228,1e-06,1325 : 40_tanh : 1_tanh,3,50.0,0.0001
